seq_length;mean acc;std acc;mean loss;std loss;input_dim;num_hidden;lr;train_steps;batch_size
5;1.0;0.0;2.3478329239878803e-05;1.0494623159228935e-05;1;128;0.001;10000;128
5;1.0;0.0;4.339031875133514e-06;1.1858119921105533e-06;1;128;0.001;10000;128
5;1.0;0.0;1.6504588226477306e-05;3.0460447199030577e-06;1;128;0.001;10000;128
10;0.10416666666666667;0.03014540860101621;2.3119839827219644;0.015374578796019044;1;128;0.001;10000;128
10;0.3958333333333333;0.042472672995573155;1.3742135365804036;0.053822383659093066;1;128;0.001;10000;128
10;0.7447916666666666;0.18458380361113907;0.5854293356339136;0.5982583927008673;1;128;0.001;10000;128
15;1.0;0.0;1.1126200358072917e-06;5.37590354378976e-07;1;128;0.001;10000;128
15;0.4166666666666667;0.041503587110701116;1.3639390468597412;0.05766918946253141;1;128;0.001;10000;128
15;0.9010416666666666;0.049547649975105336;0.3745202471812566;0.12076454319306548;1;128;0.001;10000;128
20;0.4244791666666667;0.003682847818679935;1.3697155714035034;0.01902174975968274;1;128;0.001;10000;128
20;1.0;0.0;0.0005799755454063416;0.00010351838236474798;1;128;0.001;10000;128
20;0.3229166666666667;0.00736569563735987;1.582979639371236;0.01257695534084898;1;128;0.001;10000;128
25;0.296875;0.016876928902103804;1.60331392288208;0.030905883105032603;1;128;0.001;10000;128
25;0.09375;0.01275775907699572;2.319143613179525;0.0017700429568907792;1;128;0.001;10000;128
25;0.15364583333333334;0.01473139127471974;2.0042171080907187;0.024101030559289843;1;128;0.001;10000;128
30;0.19791666666666666;0.038450060052691144;1.965400218963623;0.09175922212231019;1;128;0.001;10000;128
30;0.08333333333333333;0.003682847818679935;2.3141276041666665;0.006111962204393585;1;128;0.001;10000;128
30;0.4244791666666667;0.036271844471833646;1.2585251728693645;0.109365831994414;1;128;0.001;10000;128
35;0.20572916666666666;0.01327869664998121;1.9290844996770222;0.022443051334027454;1;128;0.001;10000;128
35;0.1875;0.02551551815399144;1.8116206725438435;0.0428957475596876;1;128;0.001;10000;128
35;0.1875;0.0;2.0137434800465903;0.010114470232113698;1;128;0.001;10000;128
40;0.20572916666666666;0.03513212907091677;1.9489224354426067;0.0861685110747323;1;128;0.001;10000;128
40;0.2682291666666667;0.07610228748022113;1.5784348646799724;0.1341069023344708;1;128;0.001;10000;128
40;0.2552083333333333;0.048719497223619034;1.814937710762024;0.06871433557631214;1;128;0.001;10000;128
45;0.2552083333333333;0.01948779888944761;1.8353659709294636;0.027596009644935197;1;128;0.001;10000;128
45;0.20833333333333334;0.003682847818679935;1.6762947241465251;0.0058015941988925936;1;128;0.001;10000;128
45;0.2526041666666667;0.016053161466065044;1.7992390394210815;0.025392439781356826;1;128;0.001;10000;128
50;0.515625;0.2612227108953201;1.4052014648914337;0.8073958812790171;1;128;0.001;10000;128
50;0.21354166666666666;0.01327869664998121;1.7836835384368896;0.012629584928141724;1;128;0.001;10000;128
50;0.3723958333333333;0.041503587110701116;1.39188285668691;0.03017939203013158;1;128;0.001;10000;128
55;0.125;0.00637887953849786;2.2017312049865723;0.025783405182294775;1;128;0.001;10000;128
45;0.11197916666666667;0.003682847818679935;2.308276971181234;0.004532343260314912;1;128;0.001;10000;128
45;0.1015625;0.011048543456039806;2.3100035985310874;0.00556034228560372;1;128;0.001;10000;128
45;0.1015625;0.011048543456039806;2.309559424718221;0.004655554592380038;1;128;0.001;10000;128
50;0.23958333333333334;0.038450060052691144;1.7338947852452595;0.05950793673711252;1;128;0.001;10000;128
50;0.18489583333333334;0.020505228838572424;2.025931199391683;0.06025273304413894;1;128;0.001;10000;128
50;0.1484375;0.016876928902103804;2.107178290685018;0.07309503097346039;1;128;0.001;10000;128
55;0.20572916666666666;0.016053161466065044;1.9934385220209758;0.05459119378473172;1;128;0.001;10000;128
55;0.2109375;0.011048543456039806;1.8433023691177368;0.03555100582228769;1;128;0.001;10000;128
55;0.22395833333333334;0.018414239093399676;1.9069768985112507;0.05114358148754524;1;128;0.001;10000;128
60;0.171875;0.0229993772560621;2.1599329312642417;0.0017703580542595336;1;128;0.001;10000;128
60;0.22395833333333334;0.04101045767714485;1.9427489042282104;0.026935778235853376;1;128;0.001;10000;128
60;0.203125;0.029231698334171417;2.0565073490142822;0.024792144620396687;1;128;0.001;10000;128
65;0.10677083333333333;0.016053161466065044;2.310960610707601;0.006379296652796533;1;128;0.001;10000;128
65;0.18489583333333334;0.04614595090278477;1.9828240076700847;0.07912583184158604;1;128;0.001;10000;128
65;0.2734375;0.0229993772560621;1.6472686131795247;0.04610026535335926;1;128;0.001;10000;128
70;0.109375;0.00637887953849786;2.2613622347513833;0.038968770048953105;1;128;0.001;10000;128
70;0.15104166666666666;0.020505228838572424;2.0998264948527017;0.01879661926731937;1;128;0.001;10000;128
70;0.12760416666666666;0.025779934730759548;2.2661784489949546;0.03645724924301359;1;128;0.001;10000;128
75;0.2109375;0.0318943976924893;1.9922730922698975;0.019289403560558506;1;128;0.001;10000;128
75;0.22916666666666666;0.01327869664998121;1.9764244953791301;0.06268847295562195;1;128;0.001;10000;128
75;0.2864583333333333;0.009743899444723805;1.49372136592865;0.05940566409074817;1;128;0.001;10000;128
80;0.19010416666666666;0.030145408601016215;2.015942096710205;0.047124354026733234;1;128;0.001;10000;128
80;0.20833333333333334;0.020505228838572424;1.7782278060913086;0.03898884092337839;1;128;0.001;10000;128
80;0.125;0.00637887953849786;2.314055601755778;0.004085927846327745;1;128;0.001;10000;128
