seq_length;mean acc;std acc;mean loss;std loss;input_dim;num_hidden;lr;train_steps;batch_size
5;0.6822916666666666;0.036271844471833646;1.7751715977986653;0.03413824885274063;1;128;0.001;10000;128
5;0.6640625;0.0229993772560621;1.785290280977885;0.022062359402697553;1;128;0.001;10000;128
5;0.9713541666666666;0.040511326005479284;1.4910747210184734;0.04220499306448887;1;128;0.001;10000;128
10;1.0;0.0;1.4611507654190063;0.0;1;128;0.001;10000;128
10;0.90625;0.03375385780420761;1.554903467496236;0.033752275886600396;1;128;0.001;10000;128
10;0.890625;0.00637887953849786;1.5655345519383748;0.006086669594162675;1;128;0.001;10000;128
15;0.0859375;0.0229993772560621;2.3026602268218994;0.00018247698919897227;1;128;0.001;10000;128
15;0.09114583333333333;0.01327869664998121;2.3026506106058755;0.00022172725612761715;1;128;0.001;10000;128
15;0.08854166666666667;0.02655739329996242;2.3026560147603354;0.00018553319946729922;1;128;0.001;10000;128
20;0.08854166666666667;0.003682847818679935;2.302529732386271;4.159810203866279e-05;1;128;0.001;10000;128
20;0.08072916666666667;0.009743899444723805;2.302591323852539;8.533409181187507e-05;1;128;0.001;10000;128
20;0.15364583333333334;0.04787702164283915;2.2838211059570312;0.028324034497508588;1;128;0.001;10000;128
25;0.10677083333333333;0.003682847818679935;2.3022241592407227;9.924706143081067e-05;1;128;0.001;10000;128
25;0.2421875;0.11339344300561063;2.2074170112609863;0.09025938131786278;1;128;0.001;10000;128
25;1.0;0.0;1.4612613519032795;4.5833073754387905e-05;1;128;0.001;10000;128
25;0.10677083333333333;0.003682847818679935;2.302215496699015;9.822716861282237e-05;1;128;0.001;10000;128
40;0.09895833333333333;0.02946278254943948;2.3026414712270102;0.000234004836074843;1;128;0.001;10000;128
25;0.10677083333333333;0.003682847818679935;2.302201191584269;0.00012917422880250818;1;128;0.001;10000;128
25;0.10677083333333333;0.003682847818679935;2.302203814188639;0.00012144009467549972;1;128;0.001;10000;128
40;0.09895833333333333;0.03210632293213009;2.3026370207468667;0.00025297326035323526;1;128;0.001;10000;128
30;0.10677083333333333;0.003682847818679935;2.3025595347086587;0.00034554112137151455;1;128;0.001;10000;128
40;0.09895833333333333;0.03210632293213009;2.3026363054911294;0.00025162829317896716;1;128;0.001;10000;128
30;0.10677083333333333;0.003682847818679935;2.3025848070780435;0.0004129554019442337;1;128;0.001;10000;128
45;0.09895833333333333;0.03845006005269115;2.302430788675944;0.0002092560388521186;1;128;0.001;10000;128
30;0.203125;0.0229993772560621;2.1974368890126548;0.01730979501997137;1;128;0.001;10000;128
45;0.09635416666666667;0.025779934730759544;2.3024117151896157;0.0001877473606067707;1;128;0.001;10000;128
35;0.09114583333333333;0.003682847818679935;2.302795092264811;0.00046565300414877584;1;128;0.001;10000;128
35;0.09114583333333333;0.003682847818679935;2.302804629007975;0.0004568679117387283;1;128;0.001;10000;128
45;0.09635416666666667;0.025779934730759544;2.3024149735768638;0.0001590336318082541;1;128;0.001;10000;128
35;0.09114583333333333;0.003682847818679935;2.302821079889933;0.00044469440410838535;1;128;0.001;10000;128
65;0.10416666666666667;0.009743899444723805;2.3027167320251465;0.00021503884391320795;1;128;0.001;10000;128
65;0.09895833333333333;0.01473139127471974;2.30268128712972;0.00020528475002942918;1;128;0.001;10000;128
65;1.0;0.0;1.4611827929814656;8.335752132945702e-06;1;128;0.001;10000;128
70;0.08072916666666667;0.03513212907091678;2.302661736806234;0.00024629984247868643;1;128;0.001;10000;128
